DATASET,GENERAL_SITE_ID,LOCAL_SITE_NAME,SITE_TYPE,BASIN_NAME,GSA_NAME,GSP_NAME,MONITORING_NETWORK_TYPE,SUSTAINABILITY_INDICATORS,RP_ELEVATION,RP_DESCRIPTION,GS_ELEVATION,MEAS_METHOD,MEAS_ACC,LATITUDE,LONGITUDE,COUNTY
subsidence,194,SUB006,Surveying/Benchmark Sites,5-022.08 Kings,Central Kings GSA,Kings_CentralKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.6344,-119.692,Fresno
subsidence,195,SUB058,Surveying/Benchmark Sites,5-022.08 Kings,Central Kings GSA,Kings_CentralKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.6481,-119.531,Fresno
subsidence,196,SUB041,Surveying/Benchmark Sites,5-022.08 Kings,James GSA,Kings_James_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.7197,-120.202,Fresno
subsidence,197,SUB052,Surveying/Benchmark Sites,5-022.08 Kings,James GSA,Kings_James_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.5636,-120.094,Fresno
subsidence,198,SUB064,Surveying/Benchmark Sites,5-022.09 Westside,James GSA,Kings_James_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.5739,-120.279,Fresno
subsidence,199,SUB088,Surveying/Benchmark Sites,5-022.08 Kings,James GSA,Kings_James_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.5893,-120.163,Fresno
subsidence,200,SUB009,Surveying/Benchmark Sites,5-022.08 Kings,Kings River East GSA,Kings_KingsRiverEast_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.6025,-119.297,Tulare
subsidence,201,SUB017,Surveying/Benchmark Sites,5-022.08 Kings,Kings River East GSA,Kings_KingsRiverEast_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.5449,-119.264,Tulare
subsidence,202,SUB042,Surveying/Benchmark Sites,5-022.08 Kings,Kings River East GSA,Kings_KingsRiverEast_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.4515,-119.492,Tulare
subsidence,203,SUB054,Surveying/Benchmark Sites,5-022.08 Kings,Kings River East GSA,Kings_KingsRiverEast_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.7155,-119.352,Fresno
subsidence,204,SUB057,Surveying/Benchmark Sites,5-022.08 Kings,Kings River East GSA,Kings_KingsRiverEast_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.5162,-119.365,Tulare
subsidence,205,SUB103,Surveying/Benchmark Sites,5-022.08 Kings,Kings River East GSA,Kings_KingsRiverEast_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.7185,-119.449,Fresno
subsidence,206,SUB016,Surveying/Benchmark Sites,5-022.09 Westside,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.3139,-120.103,Fresno
subsidence,207,SUB021,Surveying/Benchmark Sites,5-022.08 Kings,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.4105,-119.977,Fresno
subsidence,208,SUB022,Surveying/Benchmark Sites,5-022.09 Westside,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.2989,-120.103,Fresno
subsidence,209,SUB026,Surveying/Benchmark Sites,5-022.09 Westside,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.2986,-120.158,Fresno
subsidence,210,SUB029,Surveying/Benchmark Sites,5-022.09 Westside,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.3422,-120.049,Fresno
subsidence,211,SUB032,Surveying/Benchmark Sites,5-022.12 Tulare Lake,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.3275,-119.647,Kings
subsidence,212,SUB039,Surveying/Benchmark Sites,5-022.08 Kings,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.44,-119.799,Fresno
subsidence,213,SUB040,Surveying/Benchmark Sites,5-022.09 Westside,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.4283,-120.103,Fresno
subsidence,214,SUB041,Surveying/Benchmark Sites,5-022.08 Kings,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.5901,-120.061,Fresno
subsidence,215,SUB060,Surveying/Benchmark Sites,5-022.08 Kings,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.5797,-119.876,Fresno
subsidence,216,SUB064,Surveying/Benchmark Sites,5-022.08 Kings,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.5636,-120.094,Fresno
subsidence,217,SUB068,Surveying/Benchmark Sites,5-022.12 Tulare Lake,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.3136,-119.736,Kings
subsidence,218,SUB070,Surveying/Benchmark Sites,5-022.08 Kings,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.4014,-119.924,Kings
subsidence,219,SUB072,Surveying/Benchmark Sites,5-022.08 Kings,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.5474,-119.737,Fresno
subsidence,220,SUB073,Surveying/Benchmark Sites,5-022.08 Kings,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.5615,-119.667,Fresno
subsidence,221,SUB084,Surveying/Benchmark Sites,5-022.12 Tulare Lake,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.4346,-119.64,Kings
subsidence,222,SUB086,Surveying/Benchmark Sites,5-022.12 Tulare Lake,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.3626,-119.809,Kings
subsidence,223,SUB089,Surveying/Benchmark Sites,5-022.08 Kings,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.344,-119.863,Kings
subsidence,224,SUB092,Surveying/Benchmark Sites,5-022.08 Kings,North Fork Kings GSA,Kings_NorthForkKings_Adopted,SGMA Representative,Land Subsidence,0,Unknown,0,Surveyed to a benchmark,0.1 ft.,36.3853,-119.877,Kings
