GSPAR_IDS,ALTAR_ID,REPORT_YEAR,BASIN_NAME,SUBBASIN_NUMBER,SINGLE_MULTIPLE_AR,ANNUAL_REPORT_AREA,TOTAL_GROUNDWATER_EXTRACTIONS,WUS_URBAN,WUS_INDUSTRIAL,WUS_AGRICULTURAL,WUS_MANAGED_WETLANDS,WUS_MANAGED_RECHARGE,WUS_VEGETATION,WUS_OTHER,WUS_OTHER_EXPLANATION
456,,2024,DELTA-MENDOTA,5-022.07,Single Annual Report,Entire Basin,278400,22200,6700,232800,16700,0,0,0,
464,,2024,EAST CONTRA COSTA,5-022.19,Single Annual Report,Entire Basin,83400,7200,0,18200,0,0,0,0,
385,,2024,EASTERN SAN JOAQUIN,5-022.01,Single Annual Report,Entire Basin,799476,56650,0,742826,0,0,0,0,
472,,2024,KAWEAH,5-022.11,Single Annual Report,Entire Basin,580500,59200,21800,499000,0,38300,400,0,
430,,2024,KERN COUNTY,5-022.14,Single Annual Report,Entire Basin,1179906,185830,0,946124,0,37623,0,10329,"Lake Management, Use outside of Subbasin"
453,,2024,KINGS,5-022.08,Single Annual Report,Entire Basin,1256556,150474,0,1100042,0,200601,0,6040,JID Wells Pumped in McMullin GSA
391,,2024,MADERA,5-022.06,Single Annual Report,Entire Basin,536400,25200,0,511200,0,0,0,0,
405,,2024,MERCED,5-022.04,Single Annual Report,Entire Basin,569798,46358,0,510782,12658,0,0,0,
412,,2024,MODESTO,5-022.02,Single Annual Report,Entire Basin,260800,50400,0,210400,0,0,0,0,
401,,2024,PLEASANT VALLEY,5-022.10,Single Annual Report,Entire Basin,28604,200,0,24143,0,3488,0,973,"Domestic Well Users, and Evaportaion Loss"
413,,2024,TRACY,5-022.15,Single Annual Report,Entire Basin,11300,4400,300,7100,0,2700,0,2200,Remediation
477,,2024,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,355005,24031,0,322942,0,0,0,8032,other water
480,,2024,TULE,5-022.13,Single Annual Report,Entire Basin,559742,17242,0,534000,0,0,0,8500,Water used for export
407,,2024,TURLOCK,5-022.03,Single Annual Report,Entire Basin,363000,32500,0,330500,0,0,0,0,
473,,2024,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,82000,0,0,82000,0,0,0,130,Small water systems and domestic use
