GSPAR_IDS,ALTAR_ID,REPORT_YEAR,BASIN_NAME,SUBBASIN_NUMBER,SINGLE_MULTIPLE_AR,ANNUAL_REPORT_AREA,METERS_VOLUME,MTRS_METHOD_EXPLANATION,MTRS_TYPE,MTRS_ACCURACY,MTRS_ACCURACY_EXPLANATION,ERECORDS_VOLUME,ERECORDS_METHOD_EXPLANATION,ERECORDS_TYPE,ERECORDS_ACCURACY,ERECORDS_ACCURACY_EXPLANATION,LUSE_VOLUME,LUSE_METHOD_EXPLANATION,LUSE_TYPE,LUSE_ACCURACY,LUSE_ACCURACY_EXPLANATION,GW_MODEL_VOLUME,GW_MODEL_METHOD_EXPLANATION,GW_MODEL_TYPE,GW_MODEL_ACCURACY,GW_MODEL_ACCURACY_EXPLANATION,OTHER_VOLUME,OTHER_METHOD_EXPLANATION,OTHER_TYPE,OTHER_ACCURACY,OTHER_ACCURACY_EXPLANATION
109,,2021,COSUMNES,5-022.16,Single Annual Report,Entire Basin,4800,City of Galt PWS meters,Direct,Other,Unknown,0,,,,,133100,"Agricultural extractions were estimated from land use and climate data using the Irrigation Demand Calculator (IDC) within Cosumnes, South American, and North American Model (CoSANA). Domestic (Agricultural-Residential [Ag-Res]) extractions were estimated based on representative indoor and outdoor water use and estimated number of residential parcels in the Basin.",Estimate,90-100 %,"Land use accuracy of 95% based on ground-truthing efforts and comparisons with other mapping methods (e.g., remote sensing).",0,,,,,11400,Reported,Estimate,Other,Unknown
113,,2021,DELTA-MENDOTA,5-022.07,Single Annual Report,Entire Basin,0,,,,,0,,,,,0,,,,,0,,,,,562300,Sum of self-reported volumes from each GSA within the Delta-Mendota Subbasin across six Subbasin GSP regions,Estimate,Other,Measurement method is Estimate and varies by each of the 23 GSAs in the Delta-Mendota Subbasin
137,,2021,EAST CONTRA COSTA,5-022.19,Single Annual Report,Entire Basin,9386,City and Irrigation District wells were metered.,Direct,5-10 %,Meter model type and calibration accuracy can vary an esitmate of 5-10% is considered satisfactory,0,,,,,0,,,,,31409,East Contra Costa Groundwater-Surface Water Simulation Model (ECCSim) developed for the ECC GSP was used to estimate the Basin's water budget. Groundwater demand for agriculture was estimated based on crop water demand that is not met with reported surface water diversions and metered groundwater. ,Estimate,20-30 %,"Typical uncertainty associated with water demand estimates using land use, climate, surface water supply and irrigation efficiency data",1300,Groundwater estimated pumped by public water systems and domestic well users,Estimate,Other,Considered reported domestic wells and PWS in the Subbasin and estimated a pumping amount from report values in SWRCB and and annual use per well
86,,2021,EASTERN SAN JOAQUIN,5-022.01,Single Annual Report,Entire Basin,32627,Metered groundwater pumping reported by local agencies is included in this total volume. ,Direct,90-100 %,The accuracy percentage showed indicates the accuracy percentage assumed at metered wells in the Subbasin. ,0,,,,,0,,,,,776700,"Agricultural, private domestic, and other groundwater production in the Subbasin is largely unmetered and were estimated using the Eastern San Joaquin Water Resources Model, which bases water use on crop type, hydrologic data (precipitation and evapotranspiration), irrigation efficiency, and population information. ",Estimate,Other,"The estimates provided by the Eastern San Joaquin Water Resources Model have a qualitative level of accuracy of ""Medium."" ",0,,,,
171,,2021,KAWEAH,5-022.11,Single Annual Report,Entire Basin,64600,Propeller and Magnetic Meters on public wells,Direct,0-5 %,Typical manufacturer accuracy for Propeller and Magnetic meters,0,,,,,979600,Estimated groundwater pumping from satellite ET analysis on applied water minus surface water deliveries,Estimate,10-20 %,Based on the accuracy of the satellite ET analysis provided by others,0,,,,,21800,Est. for rural domestic and small systems on dwelling unit and pop. density; Industry (dairy & golf courses) based on presence/cow count,Estimate,20-30 %,Accuracy based from other technical studies and professional judgement
146,,2021,KERN COUNTY,5-022.14,Single Annual Report,Entire Basin,975650,"Meters and comparable measuring devices operated by local water agencies, water purveyors and city water departments in compliance with AWWA and other relevant standards",Direct,0-5 %,"These data were collected from well meters by experienced water agency staff following monitoring protocols for urban and agricultural water supply.  Meters are considered to be well-maintained and tested; therefore, reported data meet high accuracy levels in compliance with AWWA and other relevant standards. In accordance with these standards for water supply, meter accuracy is assumed to range between 0% and 5%.  ",0,,,,,1495505,IWFM Demand Calculator (IDC) in C2VSimFG-Kern,Estimate,10-20 %,"Estimated groundwater extractions is based on simulation results of the IDC tool within C2VSimFG-Kern model.  The water balance accuracy of the groundwater model is considered to be medium, approximately ranging between 10% and 20%.  Input data based on metered data is assumed to have an accuracy of 0% to 5%.  The agricultural pumping, which is the largest component of groundwater extraction, are estimated using the ITRC-METRIC based ET Rates.  ITRC (2020) lists the accuracy of the ET measurements as ranging from 7% to 10%. Land use is based on Kern County Agricultural Commissioner annual land use data including crop type.  Soil properties are assumed are based on local soil survey data which have a higher level of uncertainty.  Applying a weighted average of these inputs to the overall water budget produces a relative accuracy for the land use calculation for agricultural groundwater extractions ranging between 10% and 20%. ",0,,,,,0,,,,
155,,2021,KINGS,5-022.08,Single Annual Report,Entire Basin,187169,Flow meters,Direct,0-5 %,Typical accuracy for propeller and magnetic meters,0,,,,,2060967,Calculated pumping from crop water demands minus surface water deliveries,Estimate,10-20 %,Based on accuracy of Crop evapotranspiration estimates,0,,,,,45300,Rural domestic pumping estimated based on vegetated area and standard indoor use,Estimate,10-20 %,Accuracy based on professional judgement
"134,163,173,175",,2021,MADERA,5-022.06,Multiple Annual Reports,Entire Basin,14475,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,551860,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,30600,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,,,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).
108,,2021,MERCED,5-022.04,Single Annual Report,Entire Basin,143719,Groundwater extraction data from groundwater agencies located in the Merced Subbasin were directly measured. Data are a mixture of metered and some data from pump tests using run time data.,Direct,Other,Metered data have a qualitative high level of accuracy. Many agencies reported metered groundwater pumping data and did not have information on an exact percent accuracy.,0,,,,,0,,,,,654509,"Groundwater extractions from private irrigators and domestic wells are estimated by the Merced Water Resources Model (MercedWRM) based on factors including land use, evapotranspiration, and population. Details about the MercedWRM can be found in the GSP and Section 3.5.3 of the Annual Report.",Estimate,Other,The estimates provided by the MercedWRM have a qualitative medium level of accuracy.,2526,"Estimates were generated by the Merced National Wildlife Refuge based on daily estimates for several subunits of their management area, developed internally by Refuge staff.",Estimate,Other,The estimates provided by the Merced National Wildlife Refuge have a qualitative medium level of accuracy.
115,,2021,MODESTO,5-022.02,Single Annual Report,Entire Basin,71200,This estimate is from Municipal Wells provided by the Municipal purveyers in the basin.,Estimate,Other,"Model accuracy was not quantified and a ""high"" level of accuracy is assumed.",0,,,,,0,,,,,257900,"The IWFM model, C2VSimTM was used to estimate private agricultural groundwater production through the IDC which uses a combination of data on land use, cropping mix, precipitation, evapotranspiration, soil moiusture, and respective parameters.",Estimate,Other,"Model accuracy was not quantified and a ""medium"" level of accuracy is assumed.",0,,,,
