PROGRAM_TYPE,GENERAL_SITE_ID,LOCAL_SITE_NAME,SITE_TYPE,BASIN_NAME,GSP_NAME,GSA_NAME,ALT_AGENCY_NAME,MONITORING_NETWORK_TYPE,SUSTAINABILITY_INDICATORS,PRINCIPAL_AQUIFER,STATE_WELL_NUMBER,RP_ELEVATION,RP_DESCRIPTION,RP_ELEVATION_SUBSURFACE,GS_ELEVATION,MEAS_METHOD,MEAS_ACC,LATITUDE,LONGITUDE,DEPTH,CASED_DEPTH,DEPTH_TOP,DEPTH_BOTTOM,COUNTY,CREATED_DT,UPDATED_DT
SGMA,73,Sub Monit Point 3,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,DM-II GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,191.195,No description available,,186.698,Unknown,Unknown,37.56,-121.271,,,,,Stanislaus,2020-01-10 12:25:16.531782,2021-11-10 14:19:36.934000
SGMA,74,Sub Monit Point 4,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,DM-II GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,190.165,No description available,,186.886,Unknown,Unknown,37.5555,-121.251,,,,,Stanislaus,2020-01-10 12:25:16.538461,2021-11-10 14:20:44.087000
SGMA,74,Sub Monit Point 4,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,DM-II GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,190.165,No description available,,186.886,Unknown,Unknown,37.5555,-121.251,,,,,Stanislaus,2020-01-10 12:25:16.538461,2021-11-10 14:20:44.087000
SGMA,75,Sub Monit Point 5,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,DM-II GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,189.839,No description available,,184.444,Unknown,Unknown,37.5218,-121.218,,,,,Stanislaus,2020-01-10 12:25:16.545781,2021-11-10 14:21:33.843000
SGMA,75,Sub Monit Point 5,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,DM-II GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,189.839,No description available,,184.444,Unknown,Unknown,37.5218,-121.218,,,,,Stanislaus,2020-01-10 12:25:16.545781,2021-11-10 14:21:33.843000
SGMA,77,Sub Monit Point 9,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,DM-II GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,184.842,No description available,,174.396,Unknown,Unknown,37.2905,-121.088,,,,,Stanislaus,2020-01-10 12:25:16.564294,2021-11-10 14:22:25.458000
SGMA,77,Sub Monit Point 9,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,DM-II GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,184.842,No description available,,174.396,Unknown,Unknown,37.2905,-121.088,,,,,Stanislaus,2020-01-10 12:25:16.564294,2021-11-10 14:22:25.458000
SGMA,78,Sub Monit Point 10,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,DM_NorthCentral_Adopted,DM-II GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,178.551,No description available,,176.231,Unknown,Unknown,37.1518,-121.039,,,,,Merced,2020-01-10 12:25:16.571842,2021-11-10 14:23:15.164000
SGMA,78,Sub Monit Point 10,Surveying/Benchmark Sites,5-022.07 Delta-Mendota,,DM-II GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",,,178.551,No description available,,176.231,Unknown,Unknown,37.1518,-121.039,,,,,Merced,2020-01-10 12:25:16.571842,2021-11-10 14:23:15.164000
SGMA,167,Yearout,Extensometer,5-022.07 Delta-Mendota,DM_Farmers_Adopted,Farmers Water District GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",Upper Aquifer,,163,Ground surface,0,163,Unknown,0.1 ft.,36.7601,-120.313,433,433,,,Fresno,2020-01-16 14:19:23.846749,2020-01-16 14:19:23.846749
SGMA,167,Yearout,Extensometer,5-022.07 Delta-Mendota,,Farmers Water District GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",Upper Aquifer,,163,Ground surface,0,163,Unknown,0.1 ft.,36.7601,-120.313,433,433,,,Fresno,2020-01-16 14:19:23.846749,2020-01-16 14:19:23.846749
SGMA,168,P304 - GPS,Continuous GPS,5-022.07 Delta-Mendota,DM_Farmers_Adopted,Farmers Water District GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",Composite (Upper and Lower Aquifer),,167.848,Unknown ,,167.848,GPS,0.1 ft.,36.738,-120.354,,,,,Fresno,2020-01-16 14:49:21.081994,2020-01-16 14:49:21.081994
SGMA,168,P304 - GPS,Continuous GPS,5-022.07 Delta-Mendota,,Farmers Water District GSA,,SGMA Representative,"Land Subsidence,Land Subsidence",Composite (Upper and Lower Aquifer),,167.848,Unknown ,,167.848,GPS,0.1 ft.,36.738,-120.354,,,,,Fresno,2020-01-16 14:49:21.081994,2020-01-16 14:49:21.081994
SGMA,169,SUB019,Surveying/Benchmark Sites,5-022.08 Kings,Kings_McMullinArea_Adopted,McMullin Area GSA,,SGMA Representative,Land Subsidence,Unknown,,0,Unknown,0,0,Surveyed to a benchmark,0.1 ft.,36.6626,-119.97,,,,,Fresno,2020-01-17 14:45:35.115771,2020-01-17 14:45:35.115771
SGMA,170,SUB041,Surveying/Benchmark Sites,5-022.08 Kings,Kings_McMullinArea_Adopted,McMullin Area GSA,,SGMA Representative,Land Subsidence,Unknown,,0,Unknown,0,0,Surveyed to a benchmark,0.1 ft.,36.5901,-120.061,,,,,Fresno,2020-01-17 14:45:35.137647,2020-01-17 14:45:35.137647
SGMA,171,SUB052,Surveying/Benchmark Sites,5-022.08 Kings,Kings_McMullinArea_Adopted,McMullin Area GSA,,SGMA Representative,Land Subsidence,Unknown,,0,Unknown,0,0,Surveyed to a benchmark,0.1 ft.,36.7197,-120.202,,,,,Fresno,2020-01-17 14:45:35.152440,2020-01-17 14:45:35.152440
