GSPAR_IDS,ALTAR_ID,REPORT_YEAR,BASIN_NAME,SUBBASIN_NUMBER,SINGLE_MULTIPLE_AR,ANNUAL_REPORT_AREA,METHOD_USED,TOTAL_WATER_USE,WST_EXPLANATION,WST_GROUNDWATER,WST_OTHER,WST_RECYCLED_WATER,WST_REUSED_WATER,WST_SURFACE_WATER,WUS_AGRICULTURAL,WUS_EXPLANATION,WUS_INDUSTRIAL,WUS_MANAGED_RECHARGE,WUS_MANAGED_WETLANDS,WUS_NATIVE_VEGETATION,WUS_OTHER,WUS_URBAN
"134,163,173,175",,2021,MADERA,5-022.06,Multiple Annual Reports,Entire Basin,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,674462,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,597040,42280,119,0,35142,618602,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,119,0,11050,0,44420
108,,2021,MERCED,5-022.04,Single Annual Report,Entire Basin,"Total water use is a simple sum (by sector) of the groundwater use and total surface water available for use. Groundwater use was calculated by a mixture of direct measurements, estimates from the MercedWRM, and estimates from Merced National Wildlife Refuge staff. Surface water diversions were measured directly.",1211362,,800754,0,0,0,410608,1144883,,0,0,15817,0,0,50663
115,,2021,MODESTO,5-022.02,Single Annual Report,Entire Basin,"Groundwater volume was obtained by measurements provided by Agencies or Cities, and by estimates using the Groundwater model C2VSimTM. Surface water supply was obtained by measurements of Agencies, water rights (eWRIMS) data in conjunction with demands simulated by the C2VSimTM model.",631000,,329100,0,0,0,301900,555900,,0,0,0,0,0,75100
81,,2021,TRACY,5-022.15,Single Annual Report,Entire Basin,Meters are used for groundwater and surface water deliveries for urban and surface water supplied by BBID and BCID.  Meters volumes are 75% of total water supplies.  Surface water and groundwater was estimated for properties adjacent to waterways (potential riparian water rights) and for agriculture (land use methods) and for industrial  and small community water users (estimated by per person when available).  ,155000,,31000,0,800,0,123000,120000,Remediation,1200,600,0,0,1000,31700
150,,2021,TULARE LAKE,5-022.12,Single Annual Report,Entire Basin,"Sum of surface water deliveries, groundwater extraction, and effective precipitation.",881436,,652488,0,0,0,156854,846110,Rural Domestic,0,0,0,0,8221,27105
"164,165,166,167,168,170",,2021,TULE,5-022.13,Multiple Annual Reports,Entire Basin,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,1131820,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,887530,130000,6030,1100,107160,1084440,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,7350,0,0,17050,19030
82,,2021,TURLOCK,5-022.03,Single Annual Report,Entire Basin,"Groundwater volume was obtained by measurements provided by Agencies and Cities, and by estimates using the Groundwater model C2VSimTM. Surface water supply was obtained by measurements of Agencies, and water rights (eWRIMS) data in conjunction with demands simulated by the C2VSimTM model.",908000,,557200,0,9800,0,341000,864600,,0,0,0,0,0,43400
156,,2021,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,Groundwater extraction from metered wells and monthly surface water delivery records from USBR,853000,,632000,0,0,0,221000,857000,Small water systems (4478 AF) and Domestic wells (82 AF),0,0,213,0,4560,948
158,,2021,WHITE WOLF,5-022.18,Single Annual Report,Entire Basin,"Total water use is equal to the sum of total estimated groundwater extraction, the total surface water supplies, and total applied recycled water.",107630,,68300,0,123,0,39207,103353,,0,0,0,0,0,4277
193,,2022,CHOWCHILLA,5-022.05,Single Annual Report,Entire Basin,"Total Water Use is assumed to be the total volume of water that is applied to land surfaces or that precipitates onto land surfaces. A portion of this water is consumptively ""used"" through evapotranspiration/evaporation. The remaining water is ""used"" to recharge the Subbasin through deep percolation and seepage of runoff.
Groundwater is determined following the methods described in Part B.
Surface water is determined from delivery records (from Districts) and riparian diversion reports (eWRIMS).
Precipitation is determined from PRISM data.",465880,Precipitation,409060,35080,0,0,21740,451540,,0,1060,0,1380,0,11900
254,,2022,COSUMNES,5-022.16,Single Annual Report,Entire Basin,"All water source types represented by a combination of metered, reported, and estimated uses.",167300,,139300,0,1200,0,26800,0,,0,0,0,0,0,0
204,,2022,DELTA-MENDOTA,5-022.07,Single Annual Report,Entire Basin,"Sum of self-reported volumes from each GSA within the Delta-Mendota Subbaisn across six Subbasin GSP regions; Reflects water lost through canal leakage, pipe leakage, and other percolating waters",1388300,,421600,0,18600,13900,934200,1135500,,2600,0,233500,0,0,16700
253,,2022,EAST CONTRA COSTA,5-022.19,Single Annual Report,Entire Basin,East Contra Costa Groundwater-Surface Water Simulation Model (ECCSim) developed for the ECC GSP was used to estimate the Basin's water budget. Groundwater demand for agriculture was estimated based on crop water demand that is not met with reported surface water diversions and metered groundwater. City and Irrigation district groundwater wells were metered. Considered reported domestic wells and PWS in the Subbasin and estimated a pumping amount from report values in SWRCB and and annual use per well. Monthly self reported surface water diversions. ,283300,,90700,0,1400,0,191200,179300,,0,0,0,0,0,31700
